User_ID,Gender_Code,Occupation,City_Code,Marital_Status,Stay_Years,Purchase_Count,Avg_User_Purchase,Age_Code
1001680,1,20,0,1,3,1026,8479.138401559454,2
1004277,1,16,0,0,0,979,10762.930541368743,3
1001941,1,17,0,0,1,898,7591.863028953229,3
1001181,1,7,0,1,3,862,7410.627610208817,3
1000889,1,20,0,0,1,823,6682.712029161604,4
1003618,1,17,0,1,4,767,7773.15775749674,6
1001150,0,20,0,0,1,752,6288.473404255319,2
1001015,1,3,0,1,4,740,8799.072972972974,3
1005795,1,1,0,1,1,729,7495.932784636489,2
1005831,1,1,0,1,2,727,8957.954607977992,2
1002909,1,7,0,0,1,718,10553.977715877438,2
1001449,1,20,0,1,1,714,7148.172268907563,3
1002063,1,4,0,0,3,709,7288.32299012694,2
1004344,1,1,0,0,4,705,8132.883687943262,2
1003391,1,4,0,0,0,698,9279.598853868194,1
1003841,1,18,0,0,4,698,8659.620343839542,4
1000424,1,17,0,0,3,694,9472.059077809798,2
1004510,1,7,0,1,4,691,7453.506512301013,4
1001980,1,7,0,0,1,685,8101.992700729927,3
1001088,0,10,0,0,3,680,8277.433823529413,0
1004227,1,19,0,0,0,676,7154.644970414201,2
1003808,1,7,0,1,2,671,7679.903129657228,2
1004508,1,20,0,0,2,651,7879.763440860215,2
1000549,1,6,0,0,3,632,9985.321202531646,2
1003224,0,14,0,1,3,622,9120.74919614148,2
1003539,0,4,0,1,1,617,10027.705024311184,2
1005367,1,4,0,0,1,612,7219.807189542484,1
1001285,1,4,0,1,0,606,9579.833333333334,3
1004543,1,2,0,0,0,588,7895.482993197279,2
1003824,1,17,0,1,3,584,7915.126712328767,2
1001010,1,0,0,0,1,575,6558.158260869565,2
1004448,1,14,0,0,0,575,11419.55652173913,2
1005643,0,1,0,1,3,573,7908.420593368237,3
1000752,0,3,0,0,3,572,6848.762237762237,2
1001448,0,3,0,0,1,570,9011.270175438596,2
1003032,1,0,0,1,1,568,10786.161971830988,2
1004447,1,5,1,1,0,560,8134.889285714285,4
1000678,1,0,0,1,0,559,8941.203935599284,2
1004064,1,0,0,1,1,558,7442.317204301075,4
1001605,0,0,1,0,1,558,7400.774193548387,1
1000524,1,0,0,0,0,558,9342.017921146951,1
1005954,1,11,0,1,2,557,8172.220825852783,4
1000550,1,8,1,1,1,549,9704.191256830602,4
1001912,1,4,0,1,1,549,6047.134790528233,2
1003526,1,2,1,1,1,547,7552.319926873857,3
1004725,1,5,0,0,2,544,8620.85294117647,3
1002116,1,4,1,1,4,538,9044.118959107807,1
1003311,1,4,0,0,4,537,7365.329608938548,2
1003778,1,0,1,1,4,533,7219.915572232645,2
1001447,1,4,0,0,0,533,8449.399624765478,1
1003507,1,0,0,0,3,530,8545.488679245283,2
1001880,1,0,1,1,3,529,8879.274102079395,3
1000881,1,14,0,0,1,527,7693.519924098672,1
1004808,1,0,0,1,1,524,8772.692748091604,3
1001019,1,1,0,1,4,517,7324.326885880077,3
1006036,0,15,1,1,4,514,8007.894941634241,2
1006016,1,1,1,1,1,504,7482.083333333333,4
1003292,0,6,1,0,3,502,9560.679282868528,5
1004425,1,7,1,0,1,501,7868.01996007984,3
1000710,1,20,0,0,4,500,9295.11,2
1005812,0,7,0,1,1,499,8083.783567134268,2
1004647,1,20,1,1,1,499,9200.721442885771,3
1004979,1,2,1,1,1,498,7626.909638554217,3
1000869,1,20,0,1,4,497,8561.722334004024,1
1002106,0,20,0,1,3,497,5285.076458752516,1
1004312,1,18,0,1,0,496,8582.15927419355,2
1002820,0,0,0,0,2,495,7551.503030303031,3
1005046,1,16,0,0,0,494,9647.41902834008,2
1002304,1,12,1,1,2,494,10440.562753036438,4
1001647,1,18,1,0,0,493,8429.176470588236,1
1003675,1,7,1,0,3,493,8641.371196754564,3
1003626,1,17,1,0,3,492,9659.94918699187,2
1000531,0,14,1,0,0,490,7473.530612244898,1
1003792,1,6,0,0,1,488,9558.901639344262,2
1000352,1,4,0,0,0,487,8944.34496919918,1
1002777,1,4,1,0,2,486,8482.578189300411,1
1001051,0,0,0,1,0,486,8237.650205761316,2
1003067,0,0,0,0,1,486,9164.166666666666,2
1002015,1,4,1,0,4,485,8340.183505154639,1
1004041,1,3,1,0,2,485,8983.98556701031,1
1005636,1,7,0,1,0,482,7956.491701244813,2
1005100,1,6,1,1,1,479,9788.43841336117,5
1002907,0,5,0,0,4,479,8420.096033402922,3
1001958,0,1,1,0,3,477,8253.69392033543,2
1002665,1,11,1,0,1,476,8094.579831932773,3
1002181,1,0,1,1,4,476,7821.825630252101,2
1005111,1,2,1,1,1,475,7878.0,3
1005394,1,0,0,0,2,475,8252.124210526315,1
1005333,0,7,0,0,4,472,8241.00847457627,2
1003471,1,4,0,0,1,472,8536.025423728814,1
1004386,1,5,1,0,1,471,9309.494692144372,2
1001676,1,4,1,0,4,471,8857.794055201699,1
1004238,1,16,1,0,3,469,9276.413646055436,3
1005256,1,16,1,1,4,467,8531.359743040684,2
1000195,1,12,1,1,4,467,9704.552462526766,2
1003401,1,7,1,0,1,467,7423.5845824411135,3
1005788,1,0,0,0,4,465,6562.417204301075,2
1005026,1,17,1,1,1,465,7628.89247311828,2
1002793,1,7,1,0,3,461,10836.15618221258,3
1005627,1,0,0,1,4,460,7492.360869565217,2
1002507,1,4,0,1,0,458,9679.633187772926,2
1003272,1,0,1,0,1,458,9514.705240174671,3
1001733,1,14,1,1,0,457,8993.44420131291,1
1000302,1,4,1,0,4,454,7105.627753303965,1
1001383,0,7,0,0,1,453,7461.598233995585,2
1004085,0,6,0,0,1,453,9039.167770419426,2
1003829,0,1,1,0,1,451,7404.665188470067,2
1001340,1,7,0,0,2,451,5884.077605321508,2
1003029,1,4,0,0,4,451,9543.230598669625,1
1002529,0,9,0,0,3,450,9190.924444444445,3
1003705,1,7,1,1,1,449,9204.67706013363,4
1004482,0,1,0,0,1,448,8943.691964285714,3
1000329,1,7,0,0,1,447,6727.286353467562,3
1001203,0,1,0,0,3,447,9349.053691275169,2
1001737,1,20,1,0,3,446,8957.979820627803,3
1001579,1,0,0,0,0,444,8958.788288288288,2
1003650,1,0,0,0,2,444,9875.954954954956,2
1001632,1,16,1,0,1,439,7039.257403189066,2
1004021,1,20,1,1,1,439,10518.715261958998,5
1005387,0,1,1,1,4,438,8832.331050228311,2
1000482,1,14,0,1,2,437,8099.3386727688785,2
1001835,1,19,1,0,3,436,10140.467889908256,2
1001317,1,7,1,1,3,436,9083.26376146789,4
1002857,1,0,1,0,2,436,9321.509174311926,2
1000245,1,16,1,0,0,435,6801.958620689656,3
1001613,1,20,0,0,1,435,9323.14712643678,1
1000839,1,0,0,0,2,435,10761.3908045977,2
1001837,1,2,1,0,1,433,9103.364896073905,2
1001117,1,14,1,0,3,431,10013.75174013921,1
1004083,1,14,0,0,0,430,8098.711627906977,6
1000216,1,13,1,0,1,430,7304.344186046512,4
1001425,1,10,1,0,1,428,8789.836448598131,0
